seed,step,position,net_worth
456,215,-1.0,10406.85572965285
456,216,-1.0,10410.102192704708
456,217,-1.0,10408.396676557848
456,218,-1.0,10404.995175415328
456,219,-1.0,10403.658485836173
456,220,-1.0,10399.408529613644
456,221,-1.0,10399.542704172645
456,222,-1.0,10401.342930478026
456,223,-1.0,10404.865830702001
456,224,-1.0,10405.768281399696
456,225,-1.0,10408.877822714676
456,226,-1.0,10408.07515511992
456,227,-1.0,10407.21943209044
456,228,-1.0,10405.760900974929
456,229,-1.0,10403.799527456747
456,230,-1.0,10400.602218703987
456,231,-1.0,10401.39482478859
456,232,-1.0,10401.1233138119
456,233,-1.0,10398.233336061086
456,234,-1.0,10393.328132170303
456,235,-1.0,10390.864698031137
456,236,-1.0,10386.016499568668
456,237,-1.0,10377.690226089235
456,238,-1.0,10373.207462886345
456,239,-1.0,10360.80238654174
456,240,-1.0,10347.100203069142
456,241,-1.0,10344.474868091054
456,242,-1.0,10350.162414471635
456,243,-1.0,10354.33342673484
456,244,-1.0,10360.798015992574
456,245,-1.0,10369.463462041105
456,246,-1.0,10371.220132391738
456,247,-1.0,10371.027256657873
456,248,-1.0,10371.475232267529
456,249,-1.0,10378.94636805829
456,250,-1.0,10386.280665879132
456,251,-1.0,10394.846149253817
456,252,-1.0,10402.740741664877
456,253,-1.0,10415.719273195726
456,254,-1.0,10426.30229566741
456,255,-1.0,10433.396865183262
456,256,-1.0,10444.579213668849
456,257,-1.0,10455.674778925159
456,258,0.0,10452.53807649148
456,259,1.0,10438.494862512463
456,260,1.0,10428.35353720362
456,261,1.0,10430.220970743156
456,262,1.0,10426.303163834173
456,263,1.0,10416.63161435596
456,264,1.0,10412.510796859395
456,265,1.0,10402.506914877315
456,266,1.0,10385.61654701652
456,267,1.0,10377.493064456366
456,268,1.0,10369.768041476602
456,269,1.0,10361.235917272134
456,270,1.0,10362.869084841066
456,271,1.0,10367.61796306263
456,272,1.0,10371.688315437132
456,273,1.0,10384.681244450847
456,274,1.0,10387.278554005226
456,275,1.0,10364.869574810926
456,276,1.0,10321.35232768223
456,277,1.0,10282.547287230946
456,278,1.0,10237.39255069187
456,279,0.0,10234.321332926662
456,280,0.0,10234.321332926662
456,281,1.0,10248.486429703109
456,282,1.0,10261.779736488716
456,283,1.0,10278.468040448208
456,284,1.0,10292.602987243363
456,285,1.0,10302.885512518906
456,286,1.0,10302.276643968247
456,287,1.0,10293.207609711362
456,288,1.0,10286.285032773962
456,289,1.0,10278.12559956825
456,290,1.0,10270.068101560773
456,291,1.0,10264.986317795334
456,292,1.0,10251.568734902752
456,293,1.0,10236.922982861945
456,294,0.0,10233.851905967087
456,295,0.0,10233.851905967087
456,296,0.0,10233.851905967087
456,297,0.0,10233.851905967087
456,298,0.0,10233.851905967087
456,299,-1.0,10221.755616095581
456,300,-1.0,10205.605129954956
456,301,-1.0,10190.136547558448
456,302,-1.0,10173.205046484609
456,303,-1.0,10159.35607410117
456,304,-1.0,10156.362695204789
456,305,-1.0,10155.642095267325
456,306,-1.0,10163.795869387646
456,307,-1.0,10175.586634440888
456,308,-1.0,10183.802509478437
456,309,-1.0,10191.842683373825
456,310,-1.0,10195.430321479786
456,311,-1.0,10190.51494336014
456,312,-1.0,10188.243267800824
456,313,-1.0,10190.51458106411
456,314,-1.0,10198.76955389323
456,315,-1.0,10210.523031926336
456,316,-1.0,10220.588646929793
